regions;Date;nouvelle_valeur;Value_ansd2;Value_ansd3;senegal_value
Dakar;2005;3966366.909090912;8;495795.863636364;22
Dakar;2006;4073839.63636364;8;509229.954545455;22
Dakar;2007;4184224.727272728;8;523028.090909091;22
Dakar;2008;4834800.818181819;9;537200.090909091;22
Dakar;2009;4369908.24;9;485545.36;25
Dakar;2010;5984420.64;12;498701.72;34
Dakar;2011;4519540.235294124;12;376628.352941177;34
Dakar;2012;4509373.371428568;12;375781.114285714;30
Dakar;2013;5229180.0;12;435765.0;30
Dakar;2015;5489274.852941178;13;422251.911764706;34
Dakar;2016;5658778.029411768;13;435290.617647059;34
Dakar;2017;5833314.117647056;13;448716.470588235;34
Dakar;2018;6475434.8235294055;14;462531.058823529;35
SENEGAL;2005;10907509.000000007;22;495795.863636364;22
SENEGAL;2006;11203059.00000001;22;509229.954545455;22
SENEGAL;2007;11506618.000000002;22;523028.090909091;22
SENEGAL;2008;11818402.000000004;22;537200.090909091;22
SENEGAL;2009;12138634.0;25;485545.36;25
SENEGAL;2010;16955858.48;34;498701.72;34
SENEGAL;2011;12805364.000000019;34;376628.352941177;34
SENEGAL;2012;11273433.42857142;30;375781.114285714;30
SENEGAL;2013;13072950.0;30;435765.0;30
SENEGAL;2015;14356565.000000004;34;422251.911764706;34
SENEGAL;2016;14799881.000000007;34;435290.617647059;34
SENEGAL;2017;15256359.99999999;34;448716.470588235;34
SENEGAL;2018;16188587.058823515;35;462531.058823529;35
Diourbel;2005;991591.727272728;2;495795.863636364;22
Diourbel;2006;1018459.90909091;2;509229.954545455;22
Diourbel;2007;1046056.181818182;2;523028.090909091;22
Diourbel;2008;1074400.181818182;2;537200.090909091;22
Diourbel;2009;971090.72;2;485545.36;25
Diourbel;2010;1496105.16;3;498701.72;34
Diourbel;2011;1129885.058823531;3;376628.352941177;34
Diourbel;2012;1127343.342857142;3;375781.114285714;30
Diourbel;2013;1307295.0;3;435765.0;30
Diourbel;2015;1266755.735294118;3;422251.911764706;34
Diourbel;2016;1305871.852941177;3;435290.617647059;34
Diourbel;2017;1346149.411764705;3;448716.470588235;34
Diourbel;2018;1387593.176470587;3;462531.058823529;35
Fatick;2005;495795.863636364;1;495795.863636364;22
Fatick;2006;509229.954545455;1;509229.954545455;22
Fatick;2007;523028.090909091;1;523028.090909091;22
Fatick;2009;485545.36;1;485545.36;25
Fatick;2010;498701.72;1;498701.72;34
Fatick;2011;376628.352941177;1;376628.352941177;34
Fatick;2012;0.0;0;375781.114285714;30
Fatick;2013;0.0;0;435765.0;30
Fatick;2015;422251.911764706;1;422251.911764706;34
Fatick;2016;435290.617647059;1;435290.617647059;34
Fatick;2017;448716.470588235;1;448716.470588235;34
Fatick;2018;462531.058823529;1;462531.058823529;35
Kaffrine;2009;0.0;0;485545.36;25
Kaffrine;2010;498701.72;1;498701.72;34
Kaffrine;2011;376628.352941177;1;376628.352941177;34
Kaffrine;2012;375781.114285714;1;375781.114285714;30
Kaffrine;2013;435765.0;1;435765.0;30
Kaffrine;2015;422251.911764706;1;422251.911764706;34
Kaffrine;2016;435290.617647059;1;435290.617647059;34
Kaffrine;2017;448716.470588235;1;448716.470588235;34
Kaffrine;2018;462531.058823529;1;462531.058823529;35
Kaolack;2005;495795.863636364;1;495795.863636364;22
Kaolack;2006;509229.954545455;1;509229.954545455;22
Kaolack;2007;523028.090909091;1;523028.090909091;22
Kaolack;2008;537200.090909091;1;537200.090909091;22
Kaolack;2009;485545.36;1;485545.36;25
Kaolack;2010;498701.72;1;498701.72;34
Kaolack;2011;376628.352941177;1;376628.352941177;34
Kaolack;2012;375781.114285714;1;375781.114285714;30
Kaolack;2013;435765.0;1;435765.0;30
Kaolack;2015;422251.911764706;1;422251.911764706;34
Kaolack;2016;435290.617647059;1;435290.617647059;34
Kaolack;2017;448716.470588235;1;448716.470588235;34
Kaolack;2018;462531.058823529;1;462531.058823529;35
Kédougou;2008;537200.090909091;1;537200.090909091;22
Kédougou;2009;485545.36;1;485545.36;25
Kédougou;2010;498701.72;1;498701.72;34
Kédougou;2011;376628.352941177;1;376628.352941177;34
Kédougou;2012;0.0;0;375781.114285714;30
Kédougou;2013;0.0;0;435765.0;30
Kédougou;2015;0.0;0;422251.911764706;34
Kédougou;2016;0.0;0;435290.617647059;34
Kédougou;2017;0.0;0;448716.470588235;34
Kédougou;2018;0.0;0;462531.058823529;35
Kolda;2005;495795.863636364;1;495795.863636364;22
Kolda;2006;509229.954545455;1;509229.954545455;22
Kolda;2007;523028.090909091;1;523028.090909091;22
Kolda;2008;537200.090909091;1;537200.090909091;22
Kolda;2009;485545.36;1;485545.36;25
Kolda;2010;498701.72;1;498701.72;34
Kolda;2011;376628.352941177;1;376628.352941177;34
Kolda;2012;375781.114285714;1;375781.114285714;30
Kolda;2013;435765.0;1;435765.0;30
Kolda;2015;422251.911764706;1;422251.911764706;34
Kolda;2016;435290.617647059;1;435290.617647059;34
Kolda;2017;448716.470588235;1;448716.470588235;34
Kolda;2018;462531.058823529;1;462531.058823529;35
Louga;2005;495795.863636364;1;495795.863636364;22
Louga;2006;509229.954545455;1;509229.954545455;22
Louga;2007;523028.090909091;1;523028.090909091;22
Louga;2008;537200.090909091;1;537200.090909091;22
Louga;2009;485545.36;1;485545.36;25
Louga;2010;498701.72;1;498701.72;34
Louga;2011;753256.705882354;2;376628.352941177;34
Louga;2012;751562.228571428;2;375781.114285714;30
Louga;2013;871530.0;2;435765.0;30
Louga;2015;844503.823529412;2;422251.911764706;34
Louga;2016;870581.235294118;2;435290.617647059;34
Louga;2017;897432.94117647;2;448716.470588235;34
Louga;2018;925062.117647058;2;462531.058823529;35
Matam;2005;495795.863636364;1;495795.863636364;22
Matam;2006;509229.954545455;1;509229.954545455;22
Matam;2007;523028.090909091;1;523028.090909091;22
Matam;2008;537200.090909091;1;537200.090909091;22
Matam;2009;485545.36;1;485545.36;25
Matam;2010;498701.72;1;498701.72;34
Matam;2011;376628.352941177;1;376628.352941177;34
Matam;2012;375781.114285714;1;375781.114285714;30
Matam;2013;435765.0;1;435765.0;30
Matam;2015;844503.823529412;2;422251.911764706;34
Matam;2016;870581.235294118;2;435290.617647059;34
Matam;2017;897432.94117647;2;448716.470588235;34
Matam;2018;925062.117647058;2;462531.058823529;35
Saint-Louis;2005;991591.727272728;2;495795.863636364;22
Saint-Louis;2006;1018459.90909091;2;509229.954545455;22
Saint-Louis;2007;1046056.181818182;2;523028.090909091;22
Saint-Louis;2008;1074400.181818182;2;537200.090909091;22
Saint-Louis;2009;971090.72;2;485545.36;25
Saint-Louis;2010;1496105.16;3;498701.72;34
Saint-Louis;2011;1129885.058823531;3;376628.352941177;34
Saint-Louis;2012;1127343.342857142;3;375781.114285714;30
Saint-Louis;2013;1307295.0;3;435765.0;30
Saint-Louis;2015;1266755.735294118;3;422251.911764706;34
Saint-Louis;2016;1305871.852941177;3;435290.617647059;34
Saint-Louis;2017;1346149.411764705;3;448716.470588235;34
Saint-Louis;2018;1387593.176470587;3;462531.058823529;35
Sédhiou;2009;0.0;0;485545.36;25
Sédhiou;2010;498701.72;1;498701.72;34
Sédhiou;2011;376628.352941177;1;376628.352941177;34
Sédhiou;2012;375781.114285714;1;375781.114285714;30
Sédhiou;2013;435765.0;1;435765.0;30
Sédhiou;2015;422251.911764706;1;422251.911764706;34
Sédhiou;2016;435290.617647059;1;435290.617647059;34
Sédhiou;2017;448716.470588235;1;448716.470588235;34
Sédhiou;2018;462531.058823529;1;462531.058823529;35
Tambacounda;2005;991591.727272728;2;495795.863636364;22
Tambacounda;2006;1018459.90909091;2;509229.954545455;22
Tambacounda;2007;523028.090909091;1;523028.090909091;22
Tambacounda;2008;537200.090909091;1;537200.090909091;22
Tambacounda;2009;485545.36;1;485545.36;25
Tambacounda;2010;498701.72;1;498701.72;34
Tambacounda;2011;376628.352941177;1;376628.352941177;34
Tambacounda;2012;375781.114285714;1;375781.114285714;30
Tambacounda;2013;435765.0;1;435765.0;30
Tambacounda;2015;422251.911764706;1;422251.911764706;34
Tambacounda;2016;435290.617647059;1;435290.617647059;34
Tambacounda;2017;448716.470588235;1;448716.470588235;34
Tambacounda;2018;462531.058823529;1;462531.058823529;35
Thiès;2005;991591.727272728;2;495795.863636364;22
Thiès;2006;1018459.90909091;2;509229.954545455;22
Thiès;2007;1046056.181818182;2;523028.090909091;22
Thiès;2008;1074400.181818182;2;537200.090909091;22
Thiès;2009;1456636.08;3;485545.36;25
Thiès;2010;2493508.5999999996;5;498701.72;34
Thiès;2011;1883141.7647058852;5;376628.352941177;34
Thiès;2012;1127343.342857142;3;375781.114285714;30
Thiès;2013;1307295.0;3;435765.0;30
Thiès;2015;1266755.735294118;3;422251.911764706;34
Thiès;2016;1305871.852941177;3;435290.617647059;34
Thiès;2017;1346149.411764705;3;448716.470588235;34
Thiès;2018;1387593.176470587;3;462531.058823529;35
Ziguinchor;2005;495795.863636364;1;495795.863636364;22
Ziguinchor;2006;509229.954545455;1;509229.954545455;22
Ziguinchor;2007;1046056.181818182;2;523028.090909091;22
Ziguinchor;2008;537200.090909091;1;537200.090909091;22
Ziguinchor;2009;971090.72;2;485545.36;25
Ziguinchor;2010;997403.44;2;498701.72;34
Ziguinchor;2011;376628.352941177;1;376628.352941177;34
Ziguinchor;2012;375781.114285714;1;375781.114285714;30
Ziguinchor;2013;435765.0;1;435765.0;30
Ziguinchor;2015;844503.823529412;2;422251.911764706;34
Ziguinchor;2016;870581.235294118;2;435290.617647059;34
Ziguinchor;2017;897432.94117647;2;448716.470588235;34
Ziguinchor;2018;925062.117647058;2;462531.058823529;35
